new	0.0	0.9136	-0.7539	0.0704
past	1.0	0.9199	-0.7611	0.1590
past	2.0	0.9265	-0.7945	0.6857
past	3.0	0.8973	-0.8056	0.8001
past	4.0	0.7745	-0.7162	0.7863
past	5.0	0.5385	-0.5363	0.7806
past	6.0	0.2665	-0.3605	0.7912
past	7.0	0.1137	-0.2708	0.7982
past	8.0	0.1310	-0.2861	0.8121
past	9.0	0.1383	-0.2902	0.7844
past	10.0	0.1446	-0.2881	0.6555
past	11.0	0.1600	-0.2913	0.5214
past	12.0	0.1025	-0.2591	0.4939
future	13.0	-0.0591	-0.1723	0.5025
future	14.0	-0.0950	-0.1662	0.5302
future	15.0	-0.0490	-0.1134	0.5542
future	16.0	-0.0043	-0.0243	0.5818
future	17.0	-0.0752	0.0112	0.5881
future	18.0	-0.1186	0.0302	0.5614
future	19.0	-0.1045	-0.0024	0.5614
future	20.0	-0.0967	-0.0329	0.5587
future	21.0	-0.0653	-0.0182	0.2826
future	22.0	-0.0312	-0.0053	0.1477
future	23.0	-0.0309	-0.0053	0.1479
future	24.0	-0.0310	-0.0053	0.1479
future	25.0	-0.0310	-0.0053	0.1479
