1.51	-0.7150	0.8718	0.5610
2.03	-0.6215	0.7840	0.5569
2.41	-0.5261	0.6964	0.5525
3.02	-0.3447	0.5329	0.5467
3.57	-0.1792	0.3793	0.5304
4.24	-0.0474	0.2571	0.5102
4.68	-0.0166	0.2318	0.5055
5.07	-0.0228	0.2408	0.5116
5.64	-0.0510	0.2187	0.5312
6.42	-0.1427	0.1032	0.5437
7.12	-0.1712	0.1111	0.5466
7.58	-0.1626	0.1212	0.5476
8.15	-0.1049	0.0847	0.5494
8.41	-0.0871	0.0706	0.5499
8.91	-0.0882	0.0712	0.5497
9.52	-0.0670	0.0491	0.5529
10.09	-0.0301	0.0021	0.5557
10.60	-0.0353	-0.0039	0.5393
11.27	-0.0563	0.0028	0.3194
11.77	-0.0810	0.0112	0.1095
1.57	-0.7056	0.8623	0.5611
2.04	-0.6196	0.7822	0.5567
2.39	-0.5308	0.7006	0.5526
2.84	-0.4006	0.5844	0.5495
3.50	-0.2028	0.4013	0.5337
4.15	-0.0611	0.2696	0.5126
4.66	-0.0166	0.2317	0.5054
5.12	-0.0245	0.2422	0.5133
5.78	-0.0657	0.1978	0.5354
6.46	-0.1457	0.1009	0.5438
7.08	-0.1707	0.1092	0.5464
7.58	-0.1626	0.1212	0.5476
8.10	-0.1100	0.0885	0.5492
8.59	-0.0847	0.0685	0.5503
9.11	-0.0890	0.0720	0.5494
9.55	-0.0649	0.0467	0.5533
10.00	-0.0334	0.0073	0.5557
10.61	-0.0355	-0.0038	0.5382
11.28	-0.0569	0.0030	0.3120
11.94	-0.0946	0.0159	0.0763
1.53	-0.7106	0.8672	0.5612
2.02	-0.6253	0.7874	0.5571
2.46	-0.5119	0.6839	0.5521
2.88	-0.3880	0.5728	0.5489
3.62	-0.1679	0.3686	0.5289
3.97	-0.0881	0.2945	0.5172
4.74	-0.0166	0.2323	0.5057
5.15	-0.0253	0.2428	0.5141
5.84	-0.0722	0.1883	0.5369
6.48	-0.1478	0.0995	0.5438
7.13	-0.1713	0.1115	0.5466
7.65	-0.1575	0.1190	0.5477
8.00	-0.1197	0.0954	0.5489
8.57	-0.0847	0.0685	0.5503
8.89	-0.0878	0.0709	0.5498
9.42	-0.0756	0.0582	0.5518
10.05	-0.0315	0.0042	0.5557
10.64	-0.0366	-0.0035	0.5332
11.12	-0.0513	0.0015	0.3808
11.78	-0.0817	0.0115	0.1067
1.63	-0.6979	0.8547	0.5609
2.04	-0.6196	0.7822	0.5567
2.38	-0.5354	0.7047	0.5528
2.99	-0.3549	0.5424	0.5473
3.60	-0.1723	0.3730	0.5295
4.25	-0.0463	0.2562	0.5099
4.68	-0.0166	0.2318	0.5055
5.10	-0.0238	0.2417	0.5125
5.95	-0.0854	0.1693	0.5390
6.42	-0.1427	0.1032	0.5437
7.18	-0.1720	0.1137	0.5466
7.68	-0.1545	0.1174	0.5478
8.16	-0.1042	0.0841	0.5494
8.52	-0.0849	0.0688	0.5502
8.93	-0.0884	0.0714	0.5496
9.44	-0.0736	0.0562	0.5520
10.19	-0.0286	-0.0015	0.5555
10.76	-0.0398	-0.0024	0.5108
11.12	-0.0513	0.0015	0.3808
11.89	-0.0903	0.0154	0.0762
1.46	-0.7189	0.8762	0.5609
2.00	-0.6289	0.7909	0.5573
2.51	-0.4999	0.6733	0.5518
2.85	-0.3981	0.5821	0.5493
3.50	-0.2028	0.4013	0.5337
4.18	-0.0564	0.2652	0.5117
4.65	-0.0167	0.2317	0.5054
5.10	-0.0240	0.2419	0.5128
5.75	-0.0629	0.2018	0.5347
6.46	-0.1457	0.1009	0.5438
7.08	-0.1707	0.1092	0.5464
7.53	-0.1658	0.1221	0.5475
8.00	-0.1205	0.0961	0.5488
8.41	-0.0871	0.0706	0.5499
9.07	-0.0892	0.0722	0.5493
9.55	-0.0649	0.0467	0.5533
10.01	-0.0330	0.0067	0.5557
10.82	-0.0416	-0.0015	0.4950
11.31	-0.0582	0.0034	0.2972
11.97	-0.0959	0.0165	0.0785
1.60	-0.7024	0.8591	0.5610
2.06	-0.6158	0.7787	0.5566
2.46	-0.5119	0.6839	0.5521
2.87	-0.3904	0.5751	0.5491
3.35	-0.2451	0.4406	0.5384
3.99	-0.0852	0.2918	0.5167
4.64	-0.0169	0.2318	0.5054
5.09	-0.0235	0.2415	0.5123
5.98	-0.0886	0.1649	0.5395
6.51	-0.1503	0.0982	0.5438
7.16	-0.1718	0.1130	0.5466
7.67	-0.1559	0.1183	0.5477
8.00	-0.1205	0.0961	0.5488
8.50	-0.0851	0.0689	0.5502
9.10	-0.0891	0.0720	0.5494
9.50	-0.0690	0.0513	0.5527
10.19	-0.0286	-0.0015	0.5555
10.69	-0.0381	-0.0030	0.5240
11.13	-0.0515	0.0016	0.3773
11.80	-0.0830	0.0121	0.1013
1.60	-0.7024	0.8591	0.5610
1.94	-0.6415	0.8025	0.5581
2.53	-0.4926	0.6668	0.5516
3.06	-0.3345	0.5235	0.5460
3.41	-0.2249	0.4217	0.5363
4.03	-0.0794	0.2865	0.5158
4.53	-0.0200	0.2342	0.5059
5.20	-0.0267	0.2434	0.5157
5.84	-0.0722	0.1883	0.5369
6.32	-0.1320	0.1125	0.5433
7.00	-0.1695	0.1061	0.5462
7.47	-0.1685	0.1224	0.5475
8.15	-0.1049	0.0847	0.5494
8.63	-0.0848	0.0685	0.5503
8.89	-0.0877	0.0707	0.5499
9.50	-0.0690	0.0513	0.5527
10.25	-0.0286	-0.0027	0.5554
10.55	-0.0336	-0.0044	0.5458
11.10	-0.0504	0.0014	0.3913
11.94	-0.0946	0.0159	0.0763
1.34	-0.7274	0.8857	0.5601
2.05	-0.6177	0.7804	0.5567
2.39	-0.5308	0.7006	0.5526
2.96	-0.3652	0.5518	0.5478
3.57	-0.1792	0.3793	0.5304
3.98	-0.0866	0.2931	0.5170
4.71	-0.0165	0.2319	0.5055
5.14	-0.0250	0.2426	0.5138
5.92	-0.0803	0.1766	0.5383
6.34	-0.1354	0.1093	0.5435
7.11	-0.1710	0.1103	0.5465
7.64	-0.1582	0.1192	0.5476
8.13	-0.1066	0.0859	0.5493
8.59	-0.0847	0.0685	0.5503
8.98	-0.0889	0.0718	0.5494
9.50	-0.0690	0.0513	0.5527
10.09	-0.0301	0.0021	0.5557
10.67	-0.0374	-0.0032	0.5289
11.29	-0.0572	0.0031	0.3083
11.76	-0.0805	0.0109	0.1123
1.43	-0.7210	0.8785	0.5609
2.04	-0.6196	0.7822	0.5567
2.47	-0.5095	0.6817	0.5520
2.85	-0.3955	0.5797	0.5493
3.44	-0.2174	0.4149	0.5353
4.13	-0.0648	0.2731	0.5131
4.58	-0.0180	0.2326	0.5055
5.04	-0.0222	0.2401	0.5110
5.94	-0.0833	0.1722	0.5387
6.37	-0.1379	0.1072	0.5436
7.08	-0.1707	0.1092	0.5464
7.48	-0.1677	0.1225	0.5475
8.11	-0.1083	0.0872	0.5493
8.50	-0.0852	0.0690	0.5501
9.11	-0.0890	0.0720	0.5494
9.46	-0.0723	0.0549	0.5523
10.22	-0.0285	-0.0021	0.5554
10.58	-0.0346	-0.0041	0.5423
11.29	-0.0572	0.0031	0.3083
11.83	-0.0857	0.0131	0.0913
1.30	-0.7291	0.8877	0.5597
1.89	-0.6534	0.8134	0.5590
2.53	-0.4926	0.6668	0.5516
2.98	-0.3575	0.5448	0.5474
3.35	-0.2451	0.4406	0.5384
4.01	-0.0823	0.2891	0.5162
4.71	-0.0165	0.2319	0.5055
5.09	-0.0235	0.2415	0.5123
5.98	-0.0886	0.1649	0.5395
6.36	-0.1363	0.1086	0.5435
7.00	-0.1695	0.1061	0.5462
7.61	-0.1602	0.1203	0.5476
8.10	-0.1100	0.0885	0.5492
8.52	-0.0850	0.0688	0.5502
8.94	-0.0885	0.0715	0.5496
9.49	-0.0696	0.0521	0.5526
10.04	-0.0317	0.0047	0.5557
10.64	-0.0366	-0.0035	0.5332
11.27	-0.0563	0.0028	0.3194
11.87	-0.0889	0.0148	0.0802
1.52	-0.7115	0.8682	0.5612
1.92	-0.6466	0.8072	0.5585
2.55	-0.4853	0.6604	0.5514
3.02	-0.3473	0.5353	0.5468
3.39	-0.2325	0.4288	0.5370
4.03	-0.0780	0.2853	0.5155
4.71	-0.0165	0.2320	0.5055
5.15	-0.0255	0.2429	0.5143
5.84	-0.0703	0.1910	0.5364
6.53	-0.1509	0.0979	0.5438
7.09	-0.1709	0.1100	0.5464
7.61	-0.1602	0.1203	0.5476
